teks-kmeans,label,label-klaster,label-aspek,skor-label-aspek-aktual
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,0,Kompensasi,0
alas jahat banget arah visi jahat bungkus alas cari hasil,Netral,3,Kompensasi,0
kembang karir hasil sesuai harap faktur utama tahan perut hati otak,Positif,2,Aktualisasi,2
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang,Positif,2,Aktualisasi,2
ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah,Negatif,0,Kompensasi,0
cabut manager peka karir kembang kompensasi belit kasi ajar apresiasi mentor kultur sehat ruang inovasi,Negatif,2,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Positif,0,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Positif,0,Kompensasi,0
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,0,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,0,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,0,Kompensasi,0
bangun pagi semangat pergi tepu rutin gain mati situ gaji timpal,Netral,0,Kompensasi,0
durasi usaha alas tingkat gaji bidang,Negatif,0,Kompensasi,0
jaman bisnis identik milik keluarga indak butuh struktur organisasi detail iring ubah jaman buah usaha milik milik saham,Negatif,0,Kompensasi,0
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih,Positif,0,Kompensasi,0
usaha kemarin lulus sekolah henti alas gaji tempo ketemu,Negatif,0,Kompensasi,0
alas urgen tawar jahat orang loyal terima usaha kutu loncat,Negatif,0,Kompensasi,0
baca kontrak usaha asih denda selesai kontrak kompetitor jujur alas cari,Negatif,0,Kompensasi,0
akak teman orang usaha nutrisi usaha alas kali lipat mantap,Negatif,0,Hubungan,3
enak banget banget bosan astaga indah bego banget salah usaha alas gaji digit nyata bayar tanggung sanggup,Netral,0,Kompensasi,0
bilang gaji lumrah alas usaha,Negatif,0,Kompensasi,0
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif,1,Kepuasan Kerja,1
harap coba kembang beda cari suasana tantang alam luas,Netral,2,Aktualisasi,2
gaji cepat usaha usaha syarat layak alas alas negatif,Negatif,0,Kompensasi,0
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif,0,Kompensasi,0
jabodetabek wajar alias kutu loncat gaji daerah lapang batas rendah coba,Negatif,0,Kompensasi,0
lompat masuk masuk bonus kali tahan until,Negatif,0,Kompensasi,0
sesal suruh surabaya hidup jamin papa usaha rumah kendara bego banget pakai alas pisah teman suka yuda,Negatif,0,Hubungan,3
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena,Negatif,0,Kompensasi,0
salah alas suami gaji usaha sakit bpjs doang profit fasilitas alhamdulillah,Negatif,0,Kompensasi,0
barusan teman cerita usaha jepang jaman kali alas loyal kutu loncat problem,Negatif,0,Hubungan,3
beban operasional usaha karyawan sesuai gaji biar beban operasional berat karyawan gaji ganti karyawan gaji,Positif,0,Kompensasi,0
alas gaji wajar takut anggap loyal usaha anggap usaha gaji,Negatif,0,Kompensasi,0
usaha teman jamin capek nyaman alas orang,Negatif,0,Kepuasan Kerja,1
sejarah catat presiden sulit ekonomi negara utang potensi gusur warga lokal luas rusa kalimantan cenderung untung oligarki,Negatif,0,Kompensasi,0
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang,Negatif,3,Kompensasi,0
undur massal usaha pandemi kondisi usaha stres pelik karyawan putus salah usaha karyawan pandemi,Negatif,0,Kepuasan Kerja,1
tips salah jenis pilih kasih salah bosan salah gaji kena potong lepas,Negatif,0,Kompensasi,0
usaha ganti mesin laku alas manusia tangan usaha kembang semangat panjenengan,Positif,2,Aktualisasi,2
alas utama semester stop guru honorer usaha hidup kayak orang kayak gaji kadar makan enak uang orang,Negatif,0,Kompensasi,0
usaha erti bingung pakai alas keluarga kota kayak alas niat susah langsung gaji cair,Negatif,0,Kompensasi,0
gantung kantor usaha beda usaha usaha alas mutasi beda beda ubah gaji ubah,Negatif,0,Kompensasi,0
lulus kuliah usaha cantum alas gaji daerah lingkung jahat,Negatif,0,Kompensasi,0
pengin industri kembang coba perhati jual,Positif,2,Aktualisasi,2
usaha jenjang karir gaji alas cari gaji,Negatif,0,Kompensasi,0
alas gaji lingkung jahat syukur gaji segi kualifikasi kompetensi usaha sesuai kesel bilang kayak kesal,Negatif,0,Kompensasi,0
salah alas utama orang kena gaji jenjang karir lingkung omong lingkung jelek bilang gaji jenjang karir usaha janji,Negatif,0,Kompensasi,0
manfaat kondisi level karir usaha valid,Negatif,0,Kompensasi,0
cari uang banget usaha kasih gaji kasih tenang batin alas pandemi kena imbas erti,Negatif,0,Kompensasi,0
usaha alas utama gaji perkara usaha alas urus,Negatif,0,Kompensasi,0
uang edar salah alas inflasi mangkanya gaji salah inflasi mangkanya gaji pilih usaha,Negatif,0,Kompensasi,0
kena tukar gaji kena lihat faktor peluang staf staf cuti kena angkut isteri angkut senarai,Negatif,0,Kompensasi,0
alas usaha gaji karyawan alas,Positif,0,Kompensasi,0
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif,0,Kompensasi,0
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif,2,Aktualisasi,2
ramai henti gaji harga kawan jahat beban repek kebaji abai,Negatif,0,Kompensasi,0
singkat dunia khusus anak atur pengin umur pendek anak teman belah rekan,Negatif,0,Hubungan,3
cerita pecat karyawan tonton bingung lucu marah,Negatif,0,Kompensasi,0
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,3,Kompensasi,0
alas manual digital kudu harga negeri kurs murah digitalisasi pakai produk lokal jamin aman data usaha,Negatif,0,Kompensasi,0
dunia kembang arah revolusi industri hidup binatang libur tunjang santai minum sampanye restoran mewah,Positif,2,Aktualisasi,2
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta,Negatif,3,Kompensasi,0
usaha lokal indonesia prinsip wajar batas usaha gaji beda maksimal usaha harga upaya,Netral,0,Kompensasi,0
hidup realitas ekonomi buah usaha rugi gaji direksi potong tekan usaha rugi karyawan penuh kait rantai pasok,Negatif,0,Kompensasi,0
indonesia gaji lingkung jahat sadar,Negatif,3,Kompensasi,0
susah usaha israel pribadi umkm gaji minimal turun drastis pasu turun usaha israel tingkat pecah rumah,Negatif,0,Kompensasi,0
mentoring curhat kembang bantu,Negatif,2,Aktualisasi,2
alas sadar gaji lingkung salah bocil matahari buta dunia mending pikir usaha cari nyaman,Negatif,0,Kompensasi,0
kontra tuju fokus alas usaha stabil gaji stabil,Negatif,0,Kompensasi,0
zaman almarhum papa salah bank alas birokrasi susah capai usaha minim,Negatif,0,Kompensasi,0
sender coba lamar lamar usaha mending alas gaji telat bayar kantor susah akses kendara,Negatif,0,Kompensasi,0
biar usaha alas gaji,Negatif,0,Kompensasi,0
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil,Negatif,1,Kepuasan Kerja,1
kontrak usaha gaji nyaman pengin alas,Positif,0,Kompensasi,0
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,2,Kompensasi,0
salah usaha bagus kantor salah asuransi kantor alas mulia gaji,Negatif,0,Kompensasi,0
manfaat buruh usaha hemat kali gaji orang alas upah minimum rendah,Netral,0,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Negatif,0,Kompensasi,0
paksa bayar gaji paksa laku usaha ganti rugi sisa kontrak wajib pasal ubah,Negatif,0,Kompensasi,0
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Positif,0,Kompensasi,0
awak tukar bidang salah bosan salah dengar gaji,Negatif,0,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Negatif,0,Kompensasi,0
kadang nama paragon segani usaha mudah alas kasih tawar gaji lipat,Negatif,0,Kompensasi,0
kasir abdi usaha ujang alas ujang gaji bangladesh,Negatif,0,Kompensasi,0
usaha jelek bikin kembang doang proses ajeg capek jelek terima hikmah doang cari bagus,Positif,2,Kepuasan Kerja,1
karakteristik loker indonesia subjektif pandang ijazah keras angkat tahan ijazah lingkung jahat tahan usaha suka orang cepat alas laku urus jual laku,Negatif,3,Kompensasi,0
pegang divisi tahan cuman alas kembang ilmu karir terima jepang usaha,Positif,2,Aktualisasi,2
kandidat lamar alas taraf hidup gaji lihat gaji juta usaha harap gaji,Positif,0,Kompensasi,0
penasaran kandidat usaha alas utama gaji mentok kasih ruang mentok seru,Negatif,0,Aktualisasi,2
uang usaha bawa kabur mantan manajer uang sisi manajer uang bawa kabur gaji bayar uang usaha buruk uang usaha buruk suka ambil uang usaha urus pribadi,Negatif,0,Kompensasi,0
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif,1,Kepuasan Kerja,1
putus duga bikin uang buruk apartemen cicil beban usaha salah kelola bisnis bayar apartemen gaji suka tarik uang,Negatif,0,Kompensasi,0
gara-gara alas gaji bonus usaha gaji sesal,Negatif,0,Kompensasi,0
kayak rame generalisasi baca sisi positif kutu loncat posisi gaji,Negatif,0,Kompensasi,0
rekan usaha alas posisi situ,Negatif,0,Hubungan,3
arti alas kuat gaji bumn lihat gaji timbang masuk usaha bingung pakai terima kasih,Negatif,0,Kompensasi,0
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,0,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,2,Aktualisasi,2
kali sadar orang orang tolol jahat usaha alas tahan slip,Negatif,3,Kompensasi,0
alas terang alternatif lingkung jahat cari lingkung dukung kembang tumbuh kembang profesional,Positif,2,Aktualisasi,2
masuk muncul paksa gugat kayak insentif gaji bayar janji kasih,Negatif,0,Kompensasi,0
plan mental kali jahat titik,Negatif,1,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Positif,0,Kompensasi,0
mesti sorang stres jahat gaji sikit orang,Negatif,1,Kompensasi,0
kudap wajib lembur traktir,Negatif,0,Kompensasi,0
alas jahat lingkung jahat tinggal toleransi,Negatif,3,Kompensasi,0
real alas teman bikin emosi malas jarang gaji uang makan jalan,Negatif,0,Kompensasi,0
alas kembang kontrak pakai bilang,Positif,2,Aktualisasi,2
alas gaji berat pengin rambut,Netral,0,Kompensasi,0
rekan wanita alas program hamil anak banget jago desain,Positif,0,Hubungan,3
alas gaji nyaman lingkung teman kalimat indah kepsek,Negatif,0,Kompensasi,0
cari susah pandemi beban banget depresi samping gaji keluarga bilang sakit biar alas libur,Negatif,0,Kompensasi,0
alas cari kasih gaji auto sesal tinggal sesal,Negatif,0,Kompensasi,0
anak jaman bosan alas karir teman cuan gede,Negatif,0,Hubungan,3
minggu pengin betah lingkung bingung alas,Negatif,0,Kompensasi,0
alas capek alas utama nyaman orang nyaman alas orang jahat jahat orang pacar,Negatif,3,Kepuasan Kerja,1
tahap lampau stres mesti kadang tahan jenis paruh jalan kadang gaji bayar komitmen moga sabar rezeki milik allah,Positif,1,Kompensasi,0
tetangga kantor alas capek jahat kepala rehat capek jalan,Negatif,3,Kepuasan Kerja,1
alas jahat banget arah visi jahat bungkus alas cari hasil,Netral,3,Kompensasi,0
mama sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah,Negatif,1,Kepuasan Kerja,1
keren karyawan papa hamil cerita rumah alas kuat kantor papa kasih bijak gaji cuti lahir gaji papa kasih habis cuti lahir,Positif,0,Kompensasi,0
slip gaji gaji sisa situ tulis hitung bayar potong arti hitung,Negatif,0,Kompensasi,0
utama alas gaji rekan laku kayak tahi,Negatif,0,Kompensasi,0
kudu rabi alas suami lembur rabi solusi,Negatif,0,Kompensasi,0
