teks,label_klaster,label_klaster_aktual
nyata orang lingkung jahat bayang parah cerita mbak nyata,Hubungan,3
kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti,Kompensasi,0
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena,Kompensasi,0
teman rsud jawa jawa alas gaji sesuai beban sulit dokter dikit perata dokter problem,Kompensasi,0
barusan teman cerita usaha jepang jaman kali alas loyal kutu loncat problem,Hubungan,3
alas pengin kasih orang suruh orang selesai masuk gaji,Kompensasi,0
ramai henti gaji harga kawan jahat beban,Kompensasi,0
dunia kantor salah pecat hilang gaji hilang nyawa tugas gaji enak,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Kompensasi,0
alas gaji orang gaji kembang lingkung sesal arti,Kompensasi,0
undang sabtu kondisi alas alas gaji,Kompensasi,0
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang,Hubungan,3
tingkat iring harap syarikat sistem gaji sesuai gaji,Kompensasi,0
kena henti dorang stres peras ramai benda henti,Kepuasan Kerja,1
alas negara rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Kompensasi,0
tips salah jenis pilih kasih salah bosan salah gaji kena potong lepas,Kompensasi,0
acapkali arah tulis surat utara alami ketidakpuasan hati hadap skop jadual bayar gaji janji turun pangkat,Kompensasi,0
pikir kembang sehat pilih pilih,Aktualisasi,2
omong mama alas gaji emak auto ceramah takut enak lupa jodoh,Kompensasi,0
september kemarin jahat kantor kantor senang banget banget banget menang,Hubungan,3
alas leluasa perintah agama gaji ubah,Kompensasi,0
usaha minimal putus bilang kutu loncat alas jenjang karir fasilitas tara cari gaji,Kompensasi,0
cerita orang pimpin cewek gaji digit kadang tembus uang bank alas masuk bank pakai gaji habis pegang suami info suami,Kompensasi,0
pikir kayak orang wajar cari gaji bagus cari lingkung bagus alas orang malu pikir cetek,Kompensasi,0
alas gaji,Kompensasi,0
lupa alas alas gaji hapal,Kompensasi,0
undang sabtu kondisi alas alas gaji,Kompensasi,0
tawar sekolah posisi terima ajar sekolah kontrak kayak gaji pengin alas kepsek logis,Kompensasi,0
alas bilang sesuai nyata utama kadang pagi malam pulang gila anak,Kompensasi,0
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat,Hubungan,3
salah alas utama orang kena gaji jenjang karir lingkung omong lingkung jelek bilang gaji jenjang karir usaha janji,Kompensasi,0
wacana buah bibir sorot kerap pergok contoh,Kompensasi,0
manfaat kondisi level karir usaha valid,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji,Kompensasi,0
kena tukar gaji kena lihat faktor peluang staf staf cuti kena angkut isteri angkut senarai,Kompensasi,0
rumah cuti masuk staff jahat gaji komitmen takat,Kompensasi,0
bikin rekening bohong alas gaji dikit kemarin,Kompensasi,0
cewek pulang sore galak main sabtu masuk tanggal merah masuk jarak rumah kantor takut tanggap,Kompensasi,0
lompat kenal kawan sorang lompat tukar tukar baju gaji,Kompensasi,0
laksana patut kuat kuasa september tangguh cuti salin cuti minggu lepas raja putus pinda akta tangguh januari,Kompensasi,0
putus gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Kompensasi,0
staff bilang hati makan usaha coba cari susah jaman kayak dasar syukur entar,Kompensasi,0
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Hubungan,3
jawat awam putus henti nasihat henti alas sayang jamin takut niaga,Kompensasi,0
henti cikgu posting jalan kereta jalan laut sekolah cantik budaya santai,Kompensasi,0
orang cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Hubungan,3
drop alas jahat jahat drop etis versi terima kasih,Hubungan,3
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka takut,Kompensasi,0
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta,Hubungan,3
gaji turun ribu alas betah,Kompensasi,0
cewek gaji gaji turun persen alas putus,Kompensasi,0
rekan gaji digit digit jabat rendah kontrak alas start stabil,Kompensasi,0
terima kasih tawar salah alas minimal gaji tawar buka diskus moga timbang terima kasih,Kompensasi,0
allah alas pengin salah pengin banget tetangga jahat moga cepat,Hubungan,3
pengin alas gaji cuman lepas lingkung pikir,Kompensasi,0
teman kantor utama cewek coba salah sender sender suka sebentar tinggal uang asuransi jamin cela,Hubungan,3
wajib alas gaji spekulasi jamin nyaman mending,Kompensasi,0
bangun kantor masuk bangun keburu sarap kantor salah alas masuk posisi eksklusif,Kompensasi,0
pengin alas kuat gaji jemput susah motor gampang susah gaji susah,Kompensasi,0
karyawan pola pikir maaf rumah kapai daftar rumah kemarin terima gaji,Kompensasi,0
halo sender kantor alhamdulillah langsung gaji kantor menang hasil,Kompensasi,0
alas alas jahat rangkap,Hubungan,3
coba minimarket bang warnet kafe toko baju toko daging motel libur cuman tidur alas uang,Kompensasi,0
guru gaji administrasi murid nakal wali murid rekan guru jahat,Hubungan,3
korban gaji juta paksa hidup gaji juta paksa cari laki suruh gaji,Kompensasi,0
paksa modern bebas undur tunggu anggap tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Kompensasi,0
cewek gaji aneh usaha salah over kasih gaji biar pikir capek ajar,Kompensasi,0
cewek gaji putus libur gaji juta jujur badan toleransi,Kompensasi,0
sayang jahat sedih,Hubungan,3
alas henti kembang bosan cari hobi bikin kembang bikin semangat,Aktualisasi,2
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Hubungan,3
banget teman pilih dagang cilok alas bilang fleksibel mudah ibadah hasil gaji dagang,Kompensasi,0
kemarin pusing pikir salah alas tolak tawar gaji,Kompensasi,0
mama menang kangen adik bungsu qatar lulus bandung orang kasihan capek pulang tarik nafas gaji,Kompensasi,0
alas bikin gaji jahat sesuai minat bahas versi hasil riset,Kompensasi,0
wajar tukar gaji loyal gaji tengok contoh situasi,Kompensasi,0
sorang adik komen nama hakim nama bang malas pergi esok kali tengok muka suka harga awak gaji,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Kompensasi,0
kadang timbang orang rela gaji faktor jarak keluarga tinggal anak lingkung,Kompensasi,0
omong gaji orang ambis tarik bahas gaji alas gaji coba usaha,Kompensasi,0
utama masuk gaji pakai orang indonesia indonesia gaji habis hidup,Kompensasi,0
kantor kali alas kawan kantor jahat terima kantor kali mesti kaca jahat,Hubungan,3
ganti beda situ upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Kompensasi,0
ramai gaji harga kawan jahat susah situ repek kebaji abai jaga anak jaga sehat,Kompensasi,0
alas obat bilang mantan rekan teman bilang mbak sepatu mall beliau manager region jateng mall,Hubungan,3
tolong resmi bank swasta lolos gaji moga putus karir riba,Kompensasi,0
slogan sekolah kampung uang saku sekolah ajar riset tinggal sintas perempuan minggu lihat tangis sintas tahan dinamika henti salah,Kompensasi,0
rumah kantor rekan ajar jalan doang tahan minggu habis alas niat susah,Hubungan,3
pulang malam subuh emak kasih alas cuman rumah rumah potensi malam,Kompensasi,0
rasai orang orang betah lingkung jahat kemarin berkas berkas alas,Hubungan,3
suruh pulang selesai kantor tutup artikel alas,Kompensasi,0
terima langsung suruh banget tunggu proses banget allah nama alas gaji habis catat nomor,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Kompensasi,0
alas hutan belantara produk nama nipis madu gaji kota,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Aktualisasi,2
gaji lipat sesuai usaha jenjang karir jakarta transportasi ongkos jahat rekan kayak doang,Hubungan,3
alas cari gaji nafkah,Kompensasi,0
alas alas percaya alas melulu gaji alas,Kompensasi,0
jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil,Kompensasi,0
alas teman jahat jahat bikin gila cari alas,Hubungan,3
kayak rame generalisasi baca sisi positif kutu loncat posisi gaji,Kompensasi,0
rekan usaha alas posisi situ,Hubungan,3
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Kepuasan Kerja,1
undang jujur tolong kasih referensi alas over,Kompensasi,0
alas kantor jahat kantor gaji sesal terima kasih,Kompensasi,0
paksa masuk pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa tidur kaki tangan hilang,Kompensasi,0
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Kompensasi,0
putus lingkung nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Kompensasi,0
dunia dunia atur urus tinggal ijin omong sakit lampir surat ijin orang asih gaji,Kompensasi,0
alas cuman gaji,Kompensasi,0
entar ketemu teman gaji pikir saran syukur alas gaji teman dewasa,Kompensasi,0
teman gede gaji susah hidup kapai susah alas orang biar gaji rendah,Kompensasi,0
teman henti alas guru senior murid bandel banget sekolah negeri buah kota beban sesuai gaji,Kompensasi,0
kali lingkung jahat surat,Hubungan,3
alas biar kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Hubungan,3
lihat pilih gaji opsi lingkung nyaman jarak pilih milik timbang kena,Kompensasi,0
arti tahan lingkung jahat faktor gaji tekan keluarga janji,Kompensasi,0
jamin aman terima sesuai lolos alam tinggal nyaman usaha enak,Kompensasi,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Kompensasi,0
alas jahat banget arah visi jahat bungkus alas cari hasil,Hubungan,3
kembang karir hasil sesuai harap faktur utama tahan perut hati otak,Aktualisasi,2
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang,Aktualisasi,2
ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah,Kompensasi,0
cabut manager peka karir kembang kompensasi belit kasi ajar apresiasi mentor kultur sehat ruang inovasi,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Kompensasi,0
bangun pagi semangat pergi tepu rutin gain mati situ gaji timpal,Kompensasi,0
durasi usaha alas tingkat gaji bidang,Kompensasi,0
jaman bisnis identik milik keluarga indak butuh struktur organisasi detail iring ubah jaman buah usaha milik milik saham,Kompensasi,0
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih,Kompensasi,0
usaha kemarin lulus sekolah henti alas gaji tempo ketemu,Kompensasi,0
alas urgen tawar jahat orang loyal terima usaha kutu loncat,Hubungan,3
baca kontrak usaha asih denda selesai kontrak kompetitor jujur alas cari,Kompensasi,0
akak teman orang usaha nutrisi usaha alas kali lipat mantap,Hubungan,3
enak banget banget bosan astaga indah bego banget salah usaha alas gaji digit nyata bayar tanggung sanggup,Kompensasi,0
bilang gaji lumrah alas usaha,Kompensasi,0
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Hubungan,3
harap coba kembang beda cari suasana tantang alam luas,Aktualisasi,2
gaji cepat usaha usaha syarat layak alas alas negatif,Kompensasi,0
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Kompensasi,0
jabodetabek wajar alias kutu loncat gaji daerah lapang batas rendah coba,Kompensasi,0
lompat masuk masuk bonus kali tahan until,Kompensasi,0
sesal suruh surabaya hidup jamin papa usaha rumah kendara bego banget pakai alas pisah teman suka yuda,Hubungan,3
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena,Kompensasi,0
salah alas suami gaji usaha sakit bpjs doang profit fasilitas alhamdulillah,Kompensasi,0
barusan teman cerita usaha jepang jaman kali alas loyal kutu loncat problem,Hubungan,3
beban operasional usaha karyawan sesuai gaji biar beban operasional berat karyawan gaji ganti karyawan gaji,Kompensasi,0
alas gaji wajar takut anggap loyal usaha anggap usaha gaji,Kompensasi,0
usaha teman jamin capek nyaman alas orang,Kepuasan Kerja,1
sejarah catat presiden sulit ekonomi negara utang potensi gusur warga lokal luas rusa kalimantan cenderung untung oligarki,Kompensasi,0
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang,Hubungan,3
undur massal usaha pandemi kondisi usaha stres pelik karyawan putus salah usaha karyawan pandemi,Kepuasan Kerja,1
tips salah jenis pilih kasih salah bosan salah gaji kena potong lepas,Kompensasi,0
usaha ganti mesin laku alas manusia tangan usaha kembang semangat panjenengan,Aktualisasi,2
alas utama semester stop guru honorer usaha hidup kayak orang kayak gaji kadar makan enak uang orang,Kompensasi,0
usaha erti bingung pakai alas keluarga kota kayak alas niat susah langsung gaji cair,Kompensasi,0
gantung kantor usaha beda usaha usaha alas mutasi beda beda ubah gaji ubah,Kompensasi,0
lulus kuliah usaha cantum alas gaji daerah lingkung jahat,Kompensasi,0
pengin industri kembang coba perhati jual,Aktualisasi,2
usaha jenjang karir gaji alas cari gaji,Kompensasi,0
alas gaji lingkung jahat syukur gaji segi kualifikasi kompetensi usaha sesuai kesel bilang kayak kesal,Kompensasi,0
salah alas utama orang kena gaji jenjang karir lingkung omong lingkung jelek bilang gaji jenjang karir usaha janji,Kompensasi,0
manfaat kondisi level karir usaha valid,Kompensasi,0
cari uang banget usaha kasih gaji kasih tenang batin alas pandemi kena imbas erti,Kompensasi,0
usaha alas utama gaji perkara usaha alas urus,Kompensasi,0
uang edar salah alas inflasi mangkanya gaji salah inflasi mangkanya gaji pilih usaha,Kompensasi,0
kena tukar gaji kena lihat faktor peluang staf staf cuti kena angkut isteri angkut senarai,Kompensasi,0
alas usaha gaji karyawan alas,Kompensasi,0
cakap pahit teruk kedekut gaji buruk contoh alas henti,Kompensasi,0
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Aktualisasi,2
ramai henti gaji harga kawan jahat beban repek kebaji abai,Kompensasi,0
singkat dunia khusus anak atur pengin umur pendek anak teman belah rekan,Hubungan,3
cerita pecat karyawan tonton bingung lucu marah,Kompensasi,0
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Hubungan,3
alas manual digital kudu harga negeri kurs murah digitalisasi pakai produk lokal jamin aman data usaha,Kompensasi,0
dunia kembang arah revolusi industri hidup binatang libur tunjang santai minum sampanye restoran mewah,Aktualisasi,2
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal cakap pasal jahat jatuh cinta,Hubungan,3
usaha lokal indonesia prinsip wajar batas usaha gaji beda maksimal usaha harga upaya,Kompensasi,0
hidup realitas ekonomi buah usaha rugi gaji direksi potong tekan usaha rugi karyawan penuh kait rantai pasok,Kompensasi,0
indonesia gaji lingkung jahat sadar,Kompensasi,0
susah usaha israel pribadi umkm gaji minimal turun drastis pasu turun usaha israel tingkat pecah rumah,Kompensasi,0
mentoring curhat kembang bantu,Aktualisasi,2
alas sadar gaji lingkung salah bocil matahari buta dunia mending pikir usaha cari nyaman,Kompensasi,0
kontra tuju fokus alas usaha stabil gaji stabil,Kompensasi,0
zaman almarhum papa salah bank alas birokrasi susah capai usaha minim,Kompensasi,0
sender coba lamar lamar usaha mending alas gaji telat bayar kantor susah akses kendara,Kompensasi,0
biar usaha alas gaji,Kompensasi,0
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil,Kepuasan Kerja,1
kontrak usaha gaji nyaman pengin alas,Kompensasi,0
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Hubungan,3
salah usaha bagus kantor salah asuransi kantor alas mulia gaji,Kompensasi,0
manfaat buruh usaha hemat kali gaji orang alas upah minimum rendah,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Kompensasi,0
paksa bayar gaji paksa laku usaha ganti rugi sisa kontrak wajib pasal ubah,Kompensasi,0
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Kompensasi,0
awak tukar bidang salah bosan salah dengar gaji,Kompensasi,0
salah ajar perkara gaji jahat peluang pangkat tukar,Kompensasi,0
kadang nama paragon segani usaha mudah alas kasih tawar gaji lipat,Kompensasi,0
kasir abdi usaha ujang alas ujang gaji bangladesh,Kompensasi,0
usaha jelek bikin kembang doang proses ajeg capek jelek terima hikmah doang cari bagus,Kepuasan Kerja,1
karakteristik loker indonesia subjektif pandang ijazah keras angkat tahan ijazah lingkung jahat tahan usaha suka orang cepat alas laku urus jual laku,Hubungan,3
pegang divisi tahan cuman alas kembang ilmu karir terima jepang usaha,Aktualisasi,2
kandidat lamar alas taraf hidup gaji lihat gaji juta usaha harap gaji,Kompensasi,0
penasaran kandidat usaha alas utama gaji mentok kasih ruang mentok seru,Aktualisasi,2
uang usaha bawa kabur mantan manajer uang sisi manajer uang bawa kabur gaji bayar uang usaha buruk uang usaha buruk suka ambil uang usaha urus pribadi,Kompensasi,0
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Kepuasan Kerja,1
putus duga bikin uang buruk apartemen cicil beban usaha salah kelola bisnis bayar apartemen gaji suka tarik uang,Kompensasi,0
gara-gara alas gaji bonus usaha gaji sesal,Kompensasi,0
kayak rame generalisasi baca sisi positif kutu loncat posisi gaji,Kompensasi,0
rekan usaha alas posisi situ,Hubungan,3
arti alas kuat gaji bumn lihat gaji timbang masuk usaha bingung pakai terima kasih,Kompensasi,0
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Aktualisasi,2
kali sadar orang orang tolol jahat usaha alas tahan slip,Hubungan,3
alas terang alternatif lingkung jahat cari lingkung dukung kembang tumbuh kembang profesional,Aktualisasi,2
masuk muncul paksa gugat kayak insentif gaji bayar janji kasih,Kompensasi,0
plan mental kali jahat titik,Hubungan,3
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
mesti sorang stres jahat gaji sikit orang,Kompensasi,0
kudap wajib lembur traktir,Kompensasi,0
alas jahat lingkung jahat tinggal toleransi,Hubungan,3
real alas teman bikin emosi malas jarang gaji uang makan jalan,Kompensasi,0
alas kembang kontrak pakai bilang,Aktualisasi,2
alas gaji berat pengin rambut,Kompensasi,0
rekan wanita alas program hamil anak banget jago desain,Hubungan,3
alas gaji nyaman lingkung teman kalimat indah kepsek,Kompensasi,0
cari susah pandemi beban banget depresi samping gaji keluarga bilang sakit biar alas libur,Kompensasi,0
alas cari kasih gaji auto sesal tinggal sesal,Kompensasi,0
anak jaman bosan alas karir teman cuan gede,Hubungan,3
minggu pengin betah lingkung bingung alas,Kompensasi,0
alas capek alas utama nyaman orang nyaman alas orang jahat jahat orang pacar,Hubungan,3
tahap lampau stres mesti kadang tahan jenis paruh jalan kadang gaji bayar komitmen moga sabar rezeki milik allah,Kompensasi,0
tetangga kantor alas capek jahat kepala rehat capek jalan,Kepuasan Kerja,1
alas jahat banget arah visi jahat bungkus alas cari hasil,Hubungan,3
mama sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah,Kepuasan Kerja,1
keren karyawan papa hamil cerita rumah alas kuat kantor papa kasih bijak gaji cuti lahir gaji papa kasih habis cuti lahir,Kompensasi,0
slip gaji gaji sisa situ tulis hitung bayar potong arti hitung,Kompensasi,0
utama alas gaji rekan laku kayak tahi,Kompensasi,0
kudu rabi alas suami lembur rabi solusi,Kompensasi,0
jujur alas jahat alas capek orang modal lurah riwayat hidup,Kepuasan Kerja,1
teman gaji lumayan alas lingkung cari coba pengin,Kompensasi,0
alas turun lapang kadang malam lepas gaji pulang malam gaji standar keluh astagfirullah,Kompensasi,0
teman angkat alas sedih bikin menang rekan teman angkat sedih,Hubungan,3
tolong kasih alas cocok kosmetik mall capek banget,Kepuasan Kerja,1
sampah staff acah masuk alas gaji berkat kena,Kompensasi,0
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Hubungan,3
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Kompensasi,0
sehat mental miskin duit miskin mental,Kompensasi,0
alas malas pulkam ketemu tante kakak sepupu pokok anggota keluarga bagus kemarin lihat susah pandemi sabar sabar,Kompensasi,0
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Hubungan,3
manager pecat nyata busuk kirim lebay gaji tarik usaha,Kompensasi,0
bidang minat suka pergi menang ambil putus henti tawar bonus,Kompensasi,0
jujur dengar orang alas bosan lingkung gaji pengin lempar,Kompensasi,0
jahat rubah darah daging pilih,Hubungan,3
efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas,Kompensasi,0
alas kawan tawar loker mundur gaji pokok pagi pulang malam lembur partner jahat parah wajar,Kompensasi,0
mbak alam mending mundur sehat mental gaji pangkat hancur mental bikin hancur tuju gaji mental,Kompensasi,0
tiada gaji urus beban wang sehat rupa faktor henti,Kompensasi,0
utama alas gaji rekan laku kayak tahi,Kompensasi,0
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong,Hubungan,3
alas jarak gaji,Kompensasi,0
alas palsu alas asli gaji banding banget sistem jahat,Kompensasi,0
wawancara usaha alas finansial gaji etis,Kompensasi,0
lembur mesti rawat rumkit lelah kronis tipes teman bawa suka turun jabat sakit pilih auto kelimpungan,Kepuasan Kerja,1
lolos rekan alas jujur butuh saran terima kasih,Hubungan,3
alas keren capek gaji,Kompensasi,0
alas gaji sesuai cepat posisi,Kompensasi,0
rencana gaji signifikan beban lembur bayar alas jelek usaha,Kompensasi,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus januari tabung,Hubungan,3
gaji bonus kuat tinggal cari habis situ jerih payah usaha pandang belah mata,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Kompensasi,0
lambat insentif gaji pegawai utama nakes paksa,Kompensasi,0
stres lepas tengok nyawa sikit cakap hadap hadap paksa,Kepuasan Kerja,1
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih,Kompensasi,0
suasana kantor enak jahat rekan tahan butuh duit pahit,Hubungan,3
usaha capek gaji besok masuk langsung gaji,Kompensasi,0
stres situ fikir duit kalis jahat stres baca seronok,Kepuasan Kerja,1
nyaman banget cocok lingkung gaji putus korea niat libur cari korona dasar menang,Kompensasi,0
alas lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Hubungan,3
jaman pakai alas mental adaptasi lingkung inti lingkung paham,Kompensasi,0
bayar juta begadang tidur come,Kompensasi,0
mbak rasai posisi capek capek capek lingkung jahat banget kontrak pinalti uang keluarga orang sayang,Kepuasan Kerja,1
bagus jahat mudah cakap,Hubungan,3
orang lingkung jahat kayak langkah percaya enak alam pribadi,Hubungan,3
ambil kena kantor alas kantor lingkung jahat gaji alokasi uang tahan kenal putus pilih,Kompensasi,0
minggu sombong gara-gara sarjana lulus coba bangun komunikasi jelek teman cepu bodo sehat jiwa kayak robot,Hubungan,3
auto kafir shalat jumat barista restoran jepang mall tempel hotel mewah shalat jumat makan siang tinggal meja lantar,Kompensasi,0
kadang orang luah stres penat syukur ramai kadang luah pakai,Kepuasan Kerja,1
sebel orang selesai potensi ketemu orang sikap hadap ajar kembang interpersonal,Aktualisasi,2
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis,Hubungan,3
teman rsud jawa jawa alas gaji sesuai beban sulit dokter dikit perata dokter problem,Kompensasi,0
indra orang alas kena lingkung jahat rendah orang heran banget lambe,Hubungan,3
