teks	label_klaster	label_sentimen
tanda lingkung jahat stres berangkat takut interaksi rekan remeh harga sehat mental fisik ganggu kucil	1	Negatif
sumpah kayak lihat jahat bikin stres harap	1	Negatif
sempurna kadang stres kadang kadang jenis kuat royan pasal	1	Negatif
tanda bikin putus ajar pimpin alami mental jahat	1	Negatif
paham banget orang tahan jahat cari susah kudu pakai november juli stres	1	Negatif
kebelet pengin nyata tekan batin jahat banding stres rumah kondisi	1	Negatif
ayah negeri bikin stres mental kena banget lingkung jahat orang rumah mental	1	Negatif
stres jahat tahan orang orang reng	1	Negatif
tegur sentap jahat cari nafas keluh sedih bengang stres rungut ketul	1	Negatif
magang jahat maksud alam bidang stres kena mental stres depresi	1	Negatif
staff jahat stres	1	Negatif
