teks	label_klaster	label_sentimen
alas capek alas utama nyaman orang nyaman alas orang jahat jahat orang pacar	3	Positif
tetangga kantor alas capek jahat kepala rehat capek jalan	3	Positif
alas jahat banget arah visi jahat bungkus alas cari hasil	3	Positif
jujur alas jahat alas capek orang modal lurah riwayat hidup	3	Positif
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah	3	Negatif
jahat rubah darah daging pilih	3	Negatif
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong	3	Negatif
suasana kantor enak jahat rekan tahan butuh duit pahit	3	Negatif
mbak rasai posisi capek capek capek lingkung jahat banget kontrak pinalti uang keluarga orang sayang	3	Positif
bagus jahat mudah cakap	3	Negatif
orang lingkung jahat kayak langkah percaya enak alam pribadi	3	Positif
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis	3	Negatif
indra orang alas kena lingkung jahat rendah orang heran banget lambe	3	Negatif
nyata orang lingkung jahat bayang parah cerita mbak nyata	3	Negatif
istirahat duduk komputer kuat tahan lapar pusing takut orang	3	Positif
jahat kantor	3	Negatif
jumpa jahat	3	Negatif
solusi hadap lingkung jahat solusi cari bagus cari lingkung cocok gampang bekal	3	Positif
pengin alas teman kantor jahat serba salah	3	Negatif
salah alas kantor lingkung jahat sakit mental bahan guyon divisi kantor ning suruh pakai bolpoin mata diam	3	Negatif
september kemarin jahat kantor kantor senang banget banget banget menang	3	Positif
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang	3	Negatif
cewek saran alas lingkung jahat beban bikin kuat terima	3	Positif
inti nyaman lingkung laku beda rekan hasil tekan	3	Positif
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3	Positif
capek banget orang jahat salah alas pengin cepat	3	Positif
orang cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah	3	Negatif
genap jahat habis modal modal modal duduk sesak	3	Negatif
hantar surat start orang dengar majikan koyak jahat	3	Negatif
semangat anak lingkung jahat alas	3	Negatif
alas lingkung jahat bilang lingkung maksud bohong	3	Negatif
tipe masuk alas lingkung jahat	3	Negatif
halo kontrak izin alas lingkung jahat ganti bagus	3	Positif
sayang jahat sedih	3	Negatif
wajar sedih alas utama lingkung jahat atur istirahat makan menit langsung salah mohon masuk	3	Negatif
orang terima tawar rana tawar bagus orang rana manusia bagus jahat jahat gaji	3	Negatif
capek alas jahat cari muka domba sadar kayak	3	Negatif
alas biar kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat	3	Positif
lingkung jahat entar alas gara-gara karyawan lebar	3	Negatif
kantor kali alas kawan kantor jahat terima kantor kali mesti kaca jahat	3	Negatif
arti tahan lingkung jahat faktor gaji tekan keluarga janji	3	Positif
konten kreator guru alas lingkung jahat nyata lingkung jahat akibat ulah	3	Negatif
dosa banget tali silaturahmi teman jahat bawa pengaruh buruk putus kontak	3	Negatif
jahat kantor	3	Negatif
jahat masuk akal rela begadang libur saing rekan kasihan efektif sesuai lihat malas	3	Positif
amit usaha nyata jahat lihat dampak performa efek sakit igau tidur pikir negatif kompromi sehat nomor	3	Negatif
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat	3	Negatif
lingkung pengaruh harap cari alam gaji lingkung jahat omong lingkung cibir	3	Negatif
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3	Positif
sayang jahat sedih	3	Negatif
geng mari cari tinggal jahat atus jawat kosong tinggal	3	Negatif
jahat besok	3	Negatif
jahat jalan hidup hasil	3	Positif
jahat stop bawang negatif stop dengar orang bawang takut bawang stop cari salah orang bantu	3	Negatif
jahat rubah darah daging pilih	3	Negatif
suka duka beban kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah	3	Negatif
saban kantor toksik tongseng jahat ciri ciri	3	Negatif
jahat stop bawang start negatif stop dengar orang bawang takut bawang stop cari salah orang bantu stop orang	3	Negatif
jahat hubung kontrol pasang sulit dukung curiga kekang bohong terima keras fisik love	3	Positif
jahat bahaya jiwa bahaya pikir cepat hakim orang jahat ajar sadar hakim orang sadar kadang hakim cermin gulat batin	3	Negatif
jahat hindar hubung jahat teman jahat moga hindar jahat	3	Negatif
lihat orang jahat kapai korporat kantor dengar prinsip orang mental enak orang kayak orang kayak erti	3	Negatif
jahat	3	Negatif
cari harga lingkung jahat parah zona khawatir gaji orang gaji orang rezeki	3	Negatif
orang lulus potensi orang letak letak jahat jahat	3	Negatif
bawang salah jahat jenis suka puak bawang benda asing orang	3	Negatif
jahat benda orang cari salah kena kena hina benda alhamdulillah hidup tenang harap kekal kenal jahat	3	Negatif
mending tahan lingkung jahat bentar lihat kayak kasihan lingkung jahat capek fisik mental	3	Negatif
kawan sekolah jahat jumpa perangai orang nilai sentuh masuk kalut	3	Negatif
jahat	3	Negatif
cari makan situ periuk nasi suka tutup mulut jahat berat hidup gampang	3	Negatif
jahat besok	3	Negatif
capek banget ayah mama erti bilang anak anak jahat hati enak	3	Positif
susah cari kena teruk teruk penuh jahat kesah pendek teruk	3	Negatif
asli jahat gosip main perang dingin petinggi kuasa salah manager main tulis bismillah tamat hormat	3	Positif
teman minggu kirim surat undur grup banget habis maki grup langsung kirim surat jahat banget suka maki karyawan grup	3	Positif
orang jahat omong suka bikin sakit jahat talk	3	Negatif
lingkung jahat lingkung jahat jahat	3	Negatif
ajar hindar kejar sisi buruk jahat malas rajin sisi buruk rajin istirahat korban sehat wajar	3	Negatif
selamat semangat moga kabar bahagia juang tahan jahat semangat	3	Positif
takut banget utang bayar jahat banget aspek	3	Positif
orang tahan hidup lingkung jahat posisi gila	3	Negatif
tanda jahat lupus bahan jahat	3	Negatif
susah jahat gila babi	3	Negatif
psikolog jahat orang dampak buruk orang kategori jahat orang orang jahat	3	Negatif
hadap jahat	3	Negatif
malas banget jaman sekolah kuliah ketemu kelompok teman jahat ketemu teman gejala arah jahat biar sayang	3	Positif
kali rasai jahat banget	3	Positif
jahat kadang cari susah tabung harap hadap anak allah pengin teriak	3	Negatif
sampah jahat situ	3	Negatif
sinar jahat	3	Negatif
pandang angkat kaki sakit badan orang cari salah suasana jahat angkat kaki	3	Negatif
nama jahat niat untung butuh orang terima dukung balut	3	Negatif
januari selesai teman enak manajer jahat banget laku payah	3	Positif
rasai jahat	3	Negatif
jahat kama plan mental wiki sasa drip jahat pesa	3	Negatif
jahat	3	Negatif
manusia tahi level jahat	3	Negatif
lepas henti alami tekan peringkat halau buang hidup penuh manusia jahat paksa	3	Negatif
nekad jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong	3	Negatif
suka orang umbar jahat clear ungkit	3	Negatif
coba jahat	3	Negatif
bismillah allah lancar moga jahat	3	Positif
pilih tahan jahat tawar enak suka hidup	3	Negatif
orang ajar situ omong jahat orang pikir positif situ omong jahat hidup hidup jalan ganggu	3	Negatif
tuhan orang orang jahat	3	Netral
abih baran layan perangai jahat sorang	3	Negatif
jahat petrol mimi supervisor kama mimi uniform	3	Negatif
tuju jatuh jahat jaman orang bangga sibuk tidur kayak langgeng jahat	3	Negatif
anak anak kuliah magang jahat banget anjir ambis	3	Negatif
bebas jahat	3	Negatif
rugi tahan jahat orang kering	3	Negatif
teman jahat	3	Negatif
sangka jumpa orang jahat alhamdulillah tenang sikit	3	Negatif
jahat nyata badan	3	Negatif
sadar teman jahat	3	Negatif
betah jahat	3	Negatif
kena hadap jahat	3	Negatif
semangat dikit enak teman jahat tinggal	3	Negatif
lingkung jahat lihat hasil apresiasi	3	Positif
jahat jahat tahan rejeki kasih aset nyaman partner enak kayak keluarga aset nyaman ambil lemah	3	Positif
ubah sikap persepsi rekan jahat kejap butuh adaptasi sesuai paham ketimbang pusing fokus	3	Positif
kali langsung lingkung jahat minggu nyaman bilang langsung bawa surat	3	Positif
jahat banget manajemen lingkung urang banget kayak berat renti sumpah capek banget mental mending	3	Positif
orang jahat mending mundur tahan lingkung sehat	3	Negatif
jahat level	3	Negatif
jahat pamit kasih	3	Negatif
ketemu orang ambis jahat sekolah kampus coba	3	Positif
suasana kantor enak jahat rekan tahan butuh duit pahit	3	Negatif
capek orang jahat keliling orang jahat	3	Negatif
pengin jahat paksa tahan capek	3	Negatif
hasil jahat lega banget adaptasi lingkung bikin hela nafas	3	Positif
kali kali jahat jahat sepele tahi bikin	3	Negatif
cowok lulus bagus rada jahat umur masuk	3	Negatif
jahat grup grup muka suka teman	3	Negatif
senang sesuai rasai jahat ketemu orang super enak banget kenal jahat ujung pilih rasai nyaman	3	Positif
jahat parah	3	Negatif
sumpah jahat banget teman menang cerita	3	Positif
hilang sifat orang kenal selesai kayak habis kontrak kontak teman nyaman langsung jahat	3	Positif
lagu cocok manusia jahat sebal kesel	3	Positif
jahat jahat pilih kasih	3	Negatif
nilai buah lingkung label jahat mesti introspeksi kali kali lihat salah orang orang emosi	3	Negatif
bahaya banget saran grad kecuali jahat nama grad erti jahat kagak implisit omong jahat mudah identifikasi jarang	3	Negatif
rumah jahat jahat	3	Negatif
jahat bikin salah perhati kelar diam	3	Negatif
baca pasal jahat bingo	3	Negatif
semenjak jahat batas terima respon orang respon semangat bikin berat	3	Positif
orang jahat banget risih anjir kayak	3	Negatif
petang malas jahat semangat pergi	3	Negatif
tolong badan capek tidur jahat sungguh kesan jalan usia	3	Negatif
pengin asih semangat jahat cari	3	Negatif
mintak jahat	3	Negatif
hindar orang jahat orang jahat	3	Negatif
lingkung jahat	3	Negatif
pikir pikir orang orang jahat	3	Negatif
henti lingkung sehat jahat moga tuhan yesus kasih cepat amin	3	Positif
habis talk sakit banget lihat mama tahan menang jahat parah banjir banget cerita mama derita situ	3	Positif
jahat manager senior lembur kontribusi efek bikin pengin lihat	3	Netral
banget bukti betapa jahat korban jahat mati katai	3	Negatif
cerita orang suka gunung komen gemar telat alias ketua kali sumpah jahat bikin bego wajar suka	3	Negatif
tolong hormat orang orang bang faham orang orang korek pasal orang jahat	3	Negatif
orang drama rasai lingkung jahat kayak betah	3	Negatif
cerita pasal jahat cerita awak situ jahat tahan	3	Negatif
jahat	3	Negatif
bawa nama ganggu performa arti cocok musti cari lingkung sesuai lepas salah manusia bawa kolega jahat inti cocok jalan	3	Positif
penuh pasal jahat faham	3	Negatif
laku suasana jahat orang kadang tuju	3	Positif
betapa jahat orang kelakar	3	Negatif
jahat orang orang	3	Negatif
kasih orang rumus serah percaya orang sentimen pribadi orang tanda jahat	3	Negatif
cakap sorang kutuk jahat bodoh orang staff jahat benci	3	Negatif
seng lapang temu orang istilah lingkung jahat laku	3	Negatif
izin betah jahat	3	Negatif
kantor jahat suka deg-degan	3	Negatif
paksa jahat bikin maju putus sedih	3	Negatif
definisi jahat konteks sepakbola arsenal main beli tiket tonton arsenal arsenal jahat	3	Negatif
pikir jahat tunjang karir bingung cari susah pengin kabur banget asli tahan cari tinggal	3	Negatif
duduk sorang adik duduk sepang start start sorang jahat	3	Negatif
rang orang jahat kayak	3	Negatif
pribadi orang jahat jahat hubung pacar jujur teman jahat jahat	3	Negatif
lelaki sayang perempuan diam orang jahat percaya hati hitam jumpa syukur alhamdulillah	3	Positif
orang jahat fault sayang plus	3	Positif
orang lingkung jahat kayak langkah percaya enak alam pribadi	3	Positif
kayak jahat orang paham konsep wajib keluarga orang konservatif takut anak pulang malam anak didik kayak	3	Negatif
jahat usaha cari layan emosi tahan situ talk awak bagus sentiasa	3	Negatif
osis sekolah jahat banget pagi marah maki maki bina osis angkat sakit maag kambuh vertigo kambuh	3	Negatif
jahat manusia	3	Negatif
definisi jahat mati suruh masuk	3	Negatif
oktober moga keluarga sehat ikhlas rela pergi lapang dada hadap moga orang jahat amin	3	Positif
jenis kuat kipas orang jahat	3	Negatif
human sorang hidup email jahat	3	Negatif
hadap jahat jahat orang manusia sempurna jahat orang kawal minda negatif	3	Negatif
bahaya hubung jahat sadar rendah arti minder gampang asli harga hubung jahat	3	Positif
tengok sumbang jahat baca habis pikir kejut	3	Negatif
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis	3	Negatif
manajemen kantor super jahat orang kayak nilai valid	3	Negatif
mulut perangai jahat orang henti jawat galas tuju	3	Negatif
kena jahat institusi sahaja bidang kongsi	3	Negatif
semangat abdi pamrih istilah jahat suka pakai kalimat tugas beban sumbangsih nkri penasaran khas kantor	3	Negatif
jahat start orang	3	Negatif
usaha nama rohmat orang jahat banget	3	Positif
bilang suara bagus jahat banget	3	Positif
senior lumayan jahat orang salah omong banget kayak dunia salah ciut kayak anak kucing takut salah orang	3	Negatif
kongsi alam jahat hadap	3	Negatif
rumah kawan jahat salah rezeki	3	Netral
baca ngeri nyata lingkung kantor cari alam uang teman bonus cerita jahat lingkung	3	Negatif
cewek jahat halo alam jalan saran	3	Positif
jahat bagus tanda sadar laku manipulasi kamus anak jaksel	3	Negatif
jahat lingkung salah momen bambang suka macet rumah suka basa basi omong kali orang langsung biar kicep	3	Negatif
jahat kantor	3	Negatif
pegawai bank lihat target penuh tekan galak senioritas rekan jahat lembur pengin	3	Positif
kantor lingkung jahat nama jujur suka takut kondisi kayak cari susah	3	Negatif
jahat banget astaga	3	Positif
nyata orang lingkung jahat bayang parah cerita mbak nyata	3	Negatif
makhluk jahat muka	3	Negatif
jahat jahat	3	Negatif
salah pilih cari duit nyaman cari ajar alam muda saran cari jahat	3	Negatif
manager pakai jahat	3	Negatif
salah tanda jahat status cuti	3	Negatif
solusi hadap lingkung jahat solusi cari bagus cari lingkung cocok gampang bekal	3	Positif
jahat bahaya jiwa bahaya pikir cepat hakim orang jahat ajar sadar hakim orang sadar kadang hakim cermin gulat batin	3	Negatif
cari jahat	3	Negatif
jahat angkat kaki pergi angkat kaki pergi	3	Positif
jahat banget parah	3	Positif
lingkung jahat	3	Negatif
kesel banget mbak bikin jahat sadar laku bikin nyaman	3	Positif
pilih lingkung kayak kantor lingkung suportif super jahat laku kondisi	3	Negatif
ketemu orang orang jahat	3	Netral
lihat jahat	3	Netral
bismillah jahat	3	Netral
jahat banget anjing	3	Negatif
seram banget nyata teman kantor jahat kantor langsung komen	3	Positif
jahat	3	Negatif
jahat banget anjir	3	Positif
tolong jahat	3	Negatif
jahat	3	Negatif
banget hidup lingkung jahat	3	Positif
orang jahat	3	Negatif
jahat cakap benda rumah	3	Negatif
jahat	3	Negatif
start selesa jahat	3	Negatif
posisi anak proses suami bangun rumah jahat banget cari susah anak	3	Negatif
jahat	3	Negatif
minggat jahat	3	Negatif
tendang biru tendang jahat tahan	3	Negatif
senang kena jahat sedih duit hasil	3	Negatif
jahat tahan	3	Negatif
jahat banget kayak asem manis	3	Negatif
lampau jahat penat	3	Negatif
jahat cepat penat penat perangai manusia	3	Negatif
bilang jahat jahat sender pengin introspeksi masuk enak bikin ribet asli	3	Negatif
jahat jerat jahat kasih masuk tahan hubung hubung nyata	3	Negatif
jahat	3	Negatif
lingkung jahat alur bikin pengin tahan kesan sindir mari teman	3	Negatif
kayak jahat bikin trauma banget takut bawa takut ulang	3	Positif
teman cerita cerita jahat jahat	3	Negatif
jahat tahan bentar moga rejeki	3	Positif
jahat cari	3	Negatif
sikap jahat lingkung pengaruh keluarga keluarga lingkung mental jahat jaga arus racun	3	Positif
moga sponsor lancar lingkung jahat amin	3	Positif
jahat moga lingkung jahat mata banget sisa cari lingkung	3	Negatif
capek banget orang orang jahat	3	Positif
jahat	3	Negatif
amit usaha nyata jahat lihat dampak performa efek sakit igau tidur pikir negatif kompromi sehat nomor	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
jahat banget	3	Netral
salah salah manusia jahat laku	3	Negatif
lingkung orang jahat lingkung rumah keluarga beliau turun dunia imbang hidup	3	Positif
mulut jahat senior buli junior jahat lari arab	3	Negatif
ketemu orang orang lupa jahat	3	Positif
bayang dedikasi antri bpjs jahat level	3	Negatif
pengin dilema orang orang capek jahat	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
biar anak magang banget salah dikit bilang baperan cerita kantor jahat banget kontrak	3	Positif
sumpah jahat banget pulang curhat info	3	Negatif
keluarga jahat pasang jahat jahat jahat orang	3	Negatif
hidup lingkung jahat	3	Negatif
lingkung jahat pelangi pengin banget sembuh lamar tolak pikir pasang kayak orang jahat jahat	3	Negatif
jahat	3	Negatif
jahat sabar jela fikir	3	Netral
keluh kesah utama jahat sadar lingkung jahat	3	Negatif
nyaman jahat pengin menang	3	Positif
penat kena hadap jahat	3	Negatif
suka heran jahat tinggal bilang sulit	3	Negatif
kuat bawa sebel jahat malas	3	Negatif
bikin jahat person real ampun	3	Negatif
keras binatang keras peras keras suruh jahat	3	Negatif
jahat alhamdulillah	3	Netral
mesti jahat situ pikir kali	3	Negatif
contoh hubung jahat cewek agens fandom profit bikin rugi utang agens induk kalah agens	3	Negatif
curhat trauma gara-gara rekan jahat trauma efek besok percaya banget	3	Positif
lucu banget dukung cari bagus jahat banget semangat rekomendasi	3	Positif
telusur bayar lingkung jahat bagus paksa tahan keburu depresi anak orang	3	Negatif
kawan intern jumpa menang cerita jahat intern orang pakai selidik habis melulu putus sesal	3	Negatif
salah budaya jahat orang indonesia urus hidup pribadi orang netizen perang komentar bela selebgram kait hidup biar keluarga	3	Negatif
jahat masuk akal rela begadang libur saing rekan kasihan efektif sesuai lihat malas	3	Positif
september kemarin jahat kantor kantor senang banget banget banget menang	3	Positif
jahat kepala jahat alam	3	Negatif
contoh jahat patut wujud tengok jepun ajar berdikari bina jati	3	Negatif
lingkung jahat tinggal tahan alas enak sehat hidup bego	3	Negatif
nama jahat orang capek sedih kesal kali tuju berat banget gila kuat banget tepar	3	Positif
salah juang tahan hidup singkat cerita masuk jahat bilang tolong	3	Negatif
sindir sindir jahat jahat kaca banget enak suruh biar proses banget jahat jahat jahat	3	Negatif
capek banget anjing pasang topeng jahat	3	Positif
tahan tahan jahat	3	Negatif
sedih jahat sedih sangka manusia rupa perangai jangka dahsyat sakit orang balas akhirat	3	Negatif
berat banget berangkat kayak malas malas orang lingkung jahat banget	3	Negatif
pergi jahat sumpah sedih orang sanggup mudah suami bakar semangat bahagia lepas bodoh	3	Negatif
habis rekan jahat	3	Negatif
suami start jahat jahat	3	Negatif
cewek sender habis kontrak lega lingkung jahat sender biar sisi pikir sender pusing sender tulang punggung keluarga	3	Negatif
jahat cuti cuti adek kena orang	3	Negatif
jahat henti payah	3	Negatif
wujud jahat langsung jahat takut kandang buaya masuk kandang harimau	3	Negatif
baca gambar lepas habis intern masuk start nyepi tahan jahat	3	Negatif
seru jahat gaji lumayan orang jahat lawan tantang langsung kicep	3	Negatif
ajar banget hidup betapa orang kadang sadar jahat jarak umur paut temu lingkung kayak keluarga	3	Positif
terima kasih sedia wawas orang alami jahat paham alam golong paksa perhati milik	3	Positif
tips hadap orang jahat jahat perangai karut cakap faktor usia	3	Negatif
kuliah farmasi jahat	3	Negatif
sender pengin banget sembuh sender tolak pikir pasang inti jahat pasang pasang	3	Positif
semenjak ketemu orang tulus hidup sosial lingkup personal profesional asia jahat banget komen respon bentuk bumbu	3	Positif
rasai nama zona nyaman jahat jahat teman jahat kayak rasai	3	Negatif
jahat gaul jahat pandai gaul suka cerita buruk orang lepas pilih kasih long	3	Negatif
omong jahat teman jahat lingkung jahat mending kaca omong jahat orang semangat pagi	3	Negatif
lingkung pengaruh harap cari alam gaji lingkung jahat omong lingkung cibir	3	Negatif
gampang anak kakak anggur adik lulus orang pensiun jahat	3	Negatif
buram maksud lingkung jahat kayak kayak marah normal	3	Negatif
umur jahat	3	Negatif
jahat plus kapai	3	Netral
pengin coba takut salah ambil putus kuat jahat banget usaha keluarga milik keluarga milik rasai susah keluarga notabene jilat	3	Positif
dunia orang kali kali beda bela lingkung jahat rekan jahat kayak	3	Negatif
jahat diam orang bikin bikin cermin biar kalah sakit egois kayak cermin	3	Negatif
jahat mudah percaya anggap orang	3	Positif
orang bahagia orang suka geng orang puak orang layan orang tegur tegur orang diam diam gaji bahagia jahat orang drama	3	Positif
video orang bilang lingkung jahat balas video beliau jahat kasihan mbak pepatah pandu	3	Negatif
nyata lingkung jahat alas beliau cocok usaha fokus studi kontrak wajar hitung	3	Positif
jahat pilih diam tahan jahat kejam takut jahat gali rahasia hidup senjata	3	Negatif
tanda budaya jahat kelompok start kelompok mesti gosip jalan pokok goyang angin	3	Negatif
jahat	3	Negatif
selesai cerdas komunikasi wajar emosi sayang dewa orang pintar jahat	3	Positif
semangat coba cuek balas prestasi ambil hati lingkung jahat karir	3	Negatif
pengin cari aman nyaman harga nyata jahat	3	Positif
jahat diam malas gaduh over over	3	Negatif
episode jahat	3	Negatif
takut jahat orang inkompeten usaha bedak julid tinggal cabut sampah inkompeten tukang julid	3	Negatif
sadar kantor jahat suka bilang keluarga	3	Negatif
sikap toleh bagus lepas jahat tinggal jahat bagus amal sikap lepas toilet orang bayar hasil	3	Negatif
perangai orang jahat selesa	3	Negatif
jahat jenis cepat risau over fikir orang talk	3	Negatif
jahat izin jahat masuk hidup	3	Negatif
salah ciri pasang jahat laku keras fisik verbal surup hajar ampun maaf menang kayak budak tuan pasang luluh maaf siklus ulang	3	Positif
dunia dokter jahat normalisasi suka dengar cerita dokter residen suruh butuh salah guru	3	Negatif
drop alas jahat jahat drop etis versi terima kasih	3	Negatif
nyata jahat tahan dapur segala-galanya kondisi untung minimal uang	3	Negatif
jahat jahat	3	Negatif
bilik lipas kena marah jahat	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
cewek sedih jahat minggu bilang beban rekan sindir salah rekan senior ajar	3	Negatif
cerita kali masuk manager sayang kompetensi jahat	3	Negatif
cakap orang jahat masuk cakap orang dengki masuk cakap problem cakap problem problem	3	Negatif
were jahat tekan takut hilang bebas harga pribadi positif	3	Negatif
nama jahat busuk buang paksa genggam harap busuk manfaat kedok hikmah racun racun buang rugi	3	Negatif
jahat vendor vendor banget	3	Netral
jahat orang personal	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
jahat	3	Negatif
jahat lingkung jahat	3	Negatif
bahaya banget jahat anggap pasang laki anak laki jahat kasar pasang laki bela anak salah pasang	3	Negatif
jahat capek banget	3	Positif
jahat banget anjing	3	Negatif
kantor lihat jahat	3	Netral
sehat paham batas komunikasi niat jahat protes kekang serang refleksi hormat butuh	3	Negatif
nasihat jenis jahat orang puji kosong asyik kritik orang salah mata salah orang	3	Negatif
bahaya hubung jahat sadar rendah arti percaya asli harga hubung jahat	3	Positif
orang jahat kayak lihat tenang salah cari celah langkah laku salah mata gerak alas	3	Negatif
tanda tanda jahat tukar tukar cakap susah mintak cuti kena perli teruk buli orang kredit orang jahat	3	Negatif
stop jahat positif sehat layak harga	3	Negatif
jahat mahasiswa pola pikir kayak bocah mahasiswa malas kontribusi kelompok suka cari musuh balas sengak	3	Negatif
usaha jahat keluarga	3	Negatif
alas teman jahat bilang ketemu teman cocok arti langsung	3	Positif
jahat stop bawang start negatif stop dengar orang bawang takut bawang stop cari salah orang bantu stop orang	3	Negatif
normalisasi lembur bayar karyawan suka drama nyinyir jahat mampus kantor	3	Positif
salah bahaya hubung jahat sadar rendah rendah arti minder mudah harga hubung jahat	3	Negatif
tongkrong jahat tinggal entar jahat contoh orang teman ketemu omong bisnis omong mantan sambung	3	Negatif
lingkung jahat gaji lingkung jahat teman	3	Negatif
kena tengok cakap duduk orang over orang kadang jahat asah adab ajar	3	Negatif
sifat pasang potensi jahat malas usaha konsisten kontrol emosi orang luka uang bijak	3	Negatif
jahat suka jaga tepi kain staff layan suruh orang personal	3	Negatif
senang kali skala usaha arti ketemu orang jahat jilat tukang cuman beda muka lingkung positif relatif pilih gaji	3	Negatif
orang dikit jahat kapai were dengar tantang bangga hasil selesai bikin tipes	3	Positif
pikir jahat bikin fokus turun produktivitas sepele salah	3	Negatif
jahat cari validasi teman keluarga bawa arus sesuai desk pulang pulang kepo urus orang terap prinsip pulang ambil	3	Negatif
teman jahat jatuh kuliah	3	Negatif
pilih rasai lingkung jahat capek	3	Negatif
lingkung jahat habis tiktok	3	Negatif
fokus lingkung jahat drama alam pahit ajar lingkung dukung tantang tahan mental	3	Negatif
makan siang cerita jahat alamin cerita seru kasih	3	Positif
bilang kantor jahat	3	Negatif
pengin ijazah jahat tahan lulus kuliah pura capek maaf curhat dikit orang cuman senyum	3	Positif
keluarga beranta cinta gagal jahat indah capek butuh istirahat butuh rumah butuh singgah	3	Negatif
kantor jahat	3	Negatif
istirahat jahat parah istirahat	3	Negatif
allah rencana nyata putus orang allah balas kasih orang sayang banget ketemu orang jahat alhamdulillah banget	3	Positif
pilih lingkung jahat gaji keluarga lingkung jahat gaji sepi teman	3	Negatif
teman jahat jatuh kuliah	3	Negatif
niat motor beli motor mudah anak sekolah niat harap allah jahat person jahat jujur allah penat	3	Positif
lingkung jahat orang cewek sakit jiwa	3	Negatif
orang jahat egois suka cemburu sikap kasar nilai buruk suka manipulasi manfaat orang suka salah salah orang	3	Negatif
masuk lingkung jahat banding	3	Negatif
heran banget lingkung panas jahat kadang atur senior tahi anjing kesel banget orang kayak cari duit lagak gaji songong	3	Negatif
salah jahat rapat sesuai arah	3	Negatif
habis lebaran manusia nyaman jahat positif zona admin gudang coba	3	Positif
mami licia pulang jahat ikhlas hati ikhlas bulat	3	Positif
jahat harap anak kena teruk	3	Negatif
jahat betah teman banget bikin betah baca nabi yunus	3	Positif
kayak jahat	3	Negatif
pengin keluh orang jahat habis	3	Negatif
coba lingkung jahat allah amin	3	Positif
rindu duduk allah situ jahat	3	Positif
jahat	3	Negatif
